X,Y,objectid,class,gisassetid,material,owns,maintains,lasteditor,horzontalprecision,surveytype,surveydate,mode
147.123984250613688,-41.382688214555245,867,Seat with back,,STEEL,LCC Parks,LCC Parks,ORDERSR,,Photogrammetry,2017-02-15T00:00:00.000Z,
147.129432265295776,-41.440104246385452,868,Seat with back,454104,,,,ORDERSR,,,2017-04-20T00:00:00.000Z,
147.129486348563489,-41.440089175352703,869,Seat with back,,,,,ORDERSR,,,2017-04-20T00:00:00.000Z,
147.138143541706086,-41.436157962442479,870,Seat with back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,,2017-04-19T00:00:00.000Z,
147.138149312568373,-41.436190844784889,871,Seat without back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,,2017-04-19T00:00:00.000Z,
147.137836635768309,-41.435696455727665,872,Seat without back,,TIMBER,LCC Roads,LCC Roads,ORDERSR,,,2017-04-19T00:00:00.000Z,
147.138411937557237,-41.436677189082282,873,Seat with back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,,2017-04-19T00:00:00.000Z,
147.139174380424009,-41.437831276722292,874,Seat without back,,STEEL,LCC Roads,LCC Roads,HARVEYS,0.100000,Surveyed & GPS RTK,2017-04-19T00:00:00.000Z,active
147.139200802105535,-41.437865087017293,875,Seat without back,,STEEL,LCC Roads,LCC Roads,HARVEYS,0.100000,Surveyed & GPS RTK,2017-07-05T00:00:00.000Z,active
147.139296612512368,-41.437986814358389,876,Seat without back,,STEEL,LCC Roads,LCC Roads,HARVEYS,0.100000,Surveyed & GPS RTK,2017-07-05T00:00:00.000Z,active
147.139322178136723,-41.438019910461726,877,Seat without back,,STEEL,LCC Roads,LCC Roads,HARVEYS,0.100000,Surveyed & GPS RTK,2017-07-05T00:00:00.000Z,active
147.139417866401942,-41.438143080855525,878,Seat without back,,STEEL,LCC Roads,LCC Roads,HARVEYS,0.100000,Surveyed & GPS RTK,2017-07-05T00:00:00.000Z,active
147.139443732266386,-41.438176581906703,879,Seat without back,,STEEL,LCC Roads,LCC Roads,HARVEYS,0.100000,Surveyed & GPS RTK,2017-07-05T00:00:00.000Z,active
147.139368798763456,-41.438080876530996,880,Seat with back,,STEEL,LCC Roads,LCC Roads,HARVEYS,0.100000,Surveyed & GPS RTK,2017-07-05T00:00:00.000Z,active
147.140075870447816,-41.438799927133154,881,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.140149697929843,-41.438889209200575,882,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.140136775841,-41.439139466298698,883,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.140158214784577,-41.439167443743429,884,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.139555992250877,-41.438749547398913,885,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.139487183282569,-41.438784783699596,886,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.13797971824323,-41.438514844730072,887,Seat without back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.138685484559517,-41.437228952214006,888,Seat with back,,STEEL,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.139466282764943,-41.437288185076881,889,Seat without back,,CONCRETE,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.139512933642891,-41.437258933245573,890,Seat without back,,CONCRETE,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
147.139558804763254,-41.437235045436083,891,Seat without back,,CONCRETE,LCC Roads,LCC Roads,ORDERSR,,Submetre GPS,2017-04-19T00:00:00.000Z,
