X,Y,objectid,local,state,thr_id,original_a,commentary
147.132718473195808,-41.441645779836676,29,LCC, ,0,1 Babington Street LAUNCESTON TAS 7250, 
147.132419969545936,-41.441791218209346,30,LCC, ,0,2 Babington Street LAUNCESTON TAS 7250, 
147.132800995467193,-41.441726332741986,31,LCC, ,0,3 Babington Street LAUNCESTON TAS 7250, 
147.132488407902798,-41.441859893987747,32,LCC, ,0,4 Babington Street LAUNCESTON TAS 7250, 
147.132564034424774,-41.441931322253815,33,LCC, ,0,6 Babington Street LAUNCESTON TAS 7250, 
147.132663043183442,-41.442027867162324,34,LCC, ,0,8 Babington Street LAUNCESTON TAS 7250, 
147.122272659496105,-41.436808434923933,35,LCC,THC,3728, , 
147.137138219421672,-41.430072552353188,36,LCC, ,0,1 Balaclava Street INVERMAY TAS 7248, 
147.137448287773282,-41.429961855031848,37,LCC,THC,3730, , 
147.13699447073958,-41.429898539897252,38,LCC, ,0,7 Balaclava Street INVERMAY TAS 7248, 
147.137408884975287,-41.429835796242529,39,LCC,THC,3732, , 
147.136957688046209,-41.429791506305179,40,LCC, ,0,9 Balaclava Street INVERMAY TAS 7248, 
147.137380678149839,-41.42973212947679,41,LCC, ,0,10 Balaclava Street INVERMAY TAS 7248, 
147.136924538349348,-41.429687535450363,42,LCC,THC,3734, , 
147.137345265252378,-41.429625071851149,43,LCC,THC,3735, , 
147.13688471549537,-41.429580304580405,44,LCC, ,0,13 Balaclava Street INVERMAY TAS 7248, 
147.13730482366114,-41.429517029382232,45,LCC,THC,3737, , 
147.136844061148793,-41.429471449719479,46,LCC,THC,3738, , 
147.137266895561709,-41.429408983898227,47,LCC,THC,3739, , 
147.13682128961895,-41.429399416306907,48,LCC,THC,3740, , 
147.137231140859285,-41.429309943369354,49,LCC,THC,3741, , 
147.137198007757888,-41.42921394515821,50,LCC,THC,3742, , 
147.137170309957412,-41.42913291012367,51,LCC,THC,3743, , 
147.137143229596944,-41.429060881907759,52,LCC,THC,3744, , 
147.137104665717885,-41.428934821994041,53,LCC,THC,3745, , 
147.147159650289808,-41.442562137369428,54,LCC,THC,3746, , 
147.146904313485152,-41.44219777538455,55,LCC, ,0,2 Balfour Street LAUNCESTON TAS 7250, 
147.147007865338537,-41.44267042191354,56,LCC,THC,3748, , 
147.146694754792293,-41.442246149361274,57,LCC, ,0,4 Balfour Street LAUNCESTON TAS 7250, 
147.14690651766162,-41.44279665694151,58,LCC,THC,3750, , 
